800015	568664	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	5	1	1	5	1	1	5	4	6	5	2	5	5	7	7	6	5	5	7	7	4	0	0	0	0	50	4	2	5	6	1	0	.0768984000000003	.00591336392256005	1	2	5	2	5
800042	500277	2	3	4	4	1	3	2	3	4	2	2	3	2	2	2	2	2	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	3	2	3	2	2	2	3	4	1	1	3	3	1	1	2	2	1	5	6	6	6	5	6	6	6	6	5	6	6	6	6	5	0	0	0	0	37	4	2	1	3	1	1	-1.2231016	1.49597752392256	0	2	1	2	1
800057	580532	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	2	4	2	2	2	4	4	3	4	4	4	3	1	1	1	1	4	2	3	4	2	2	3	5	4	4	4	4	4	4	2	2	4	2	4	6	6	6	6	5	6	6	6	6	6	6	6	6	6	6	0	0	0	1	38	5	3	6	6	0	0	-1.1231016	1.26135720392256	1	3	6	3	6
800119	537783	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	2	2	4	3	3	3	2	2	4	2	2	2	4	2	2	4	2	2	1	1	5	4	3	2	2	4	4	1	3	3	3	2	3	3	3	3	4	5	5	5	4	5	5	5	5	5	4	5	5	5	4	0	0	1	0	62	4	2	1	2	1	1	1.2768984	1.63046952392256	0	0	1	0	1
800131	537240	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	5	4	1	2	2	1	2	2	3	1	3	2	1	1	1	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	5	4	7	7	2	6	6	6	6	2	6	4	6	3	4	0	0	0	0	58	4	2	-999	4	1	1	.8768984	.768950803922561	1	2	-999	2	-999
800161	561404	3	2	4	2	1	2	4	4	4	4	4	3	3	2	2	3	2	2	1	1	5	1	1	2	4	4	4	4	4	3	3	2	3	3	3	2	3	2	5	2	2	2	4	4	4	4	4	3	3	3	4	3	3	1	6	6	6	6	3	5	5	6	6	4	6	6	6	6	5	0	0	0	0	42	2	0	6	5	0	0	-.7231016	.52287592392256	1	0	6	1	6
800170	520571	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	1	1	1	1	1	1	2	3	1	1	1	3	1	2	2	2	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	6	6	7	5	2	5	5	5	3	2	4	5	6	4	2	0	0	0	0	54	3	2	3	4	0	1	.4768984	.22743208392256	1	3	4	3	4
800186	534976	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	3	2	4	2	2	2	2	2	2	3	2	2	3	2	2	2	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	3	2	3	1	5	3	3	4	1	2	3	2	3	4	5	0	0	0	0	73	2	0	3	2	0	1	2.3768984	5.64964600392256	0	0	4	0	4
800198	582861	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	6	6	6	7	6	7	7	7	7	7	-999	-999	-999	-999	-999	0	0	0	0	56	3	1	5	6	0	0	.6768984	.45819144392256	1	0	5	0	5
800201	529760	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	1	2	3	1	2	2	2	3	2	2	2	2	2	2	2	2	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	3	5	3	3	2	2	5	3	4	2	4	7	5	5	2	0	0	0	0	39	2	0	2	1	1	0	-1.0231016	1.04673688392256	1	0	2	0	3
